YBR236C	YML010W
YNR016C	YJR064W
YNR016C	YDL047W
YDL047W	YNR016C
YNR016C	YLR386W
YLR359W	YOR361C
YMR300C	YAL012W
YMR300C	YMR235C
YPR180W	YOL086C
YPR180W	YDR390C
YPR180W	YLR249W
YLR127C	YNL172W
YLR127C	YKL022C
YLR127C	YHR166C
YLR127C	YBL084C
YBR128C	YDL185W
YBR128C	YPL120W
YKL135C	YPR029C
YKL135C	YPL259C
YKL135C	YHL019C
YKL135C	YLR170C
YKL135C	YBR084W
YKL135C	YPR010C
YBL037W	YJR005W
YBL037W	YOL062C
YBL037W	YJR058C
YPL195W	YGR261C
YGR261C	YPL195W
YPL195W	YBR288C
YPL195W	YJL024C
YPL195W	YGL019W
YGR261C	YBR288C
YBR288C	YGR261C
YGR261C	YHR174W
YIL062C	YLR370C
YLR370C	YIL062C
YIL062C	YKL013C
YIL062C	YNR035C
YNR035C	YIL062C
YIL062C	YJR065C
YJR065C	YIL062C
YLR370C	YKL013C
YLR370C	YNR035C
YNR035C	YLR370C
YLR370C	YDL029W
YDL029W	YLR370C
YLR370C	YJR065C
YJR065C	YLR370C
YLR370C	YGR240C
YLR370C	YOR361C
YNR035C	YKL013C
YNR035C	YBR234C
YBR234C	YNR035C
YNR035C	YDL029W
YDL029W	YNR035C
YNR035C	YJR065C
YJR065C	YNR035C
YBR234C	YIL062C
YBR234C	YLR370C
YBR234C	YKL013C
YBR234C	YJR065C
YHR013C	YMR116C
YHR013C	YGR254W
YHR013C	YBR084W
YHR013C	YHR023W
YHR013C	YDL040C
YDL040C	YHR013C
YHR013C	YGR090W
YDR127W	YJL008C
YDR127W	YKL104C
YDR127W	YMR186W
YDR127W	YOR136W
YDR127W	YGR240C
YDR127W	YDR427W
YDR127W	YGL048C
YDR127W	YPL235W
YDR127W	YGR234W
YDL029W	YIL062C
YDL029W	YKL013C
YDL029W	YBR234C
YDL029W	YJR065C
YJR065C	YDL029W
YDL029W	YJR064W
YDL029W	YJL008C
YJR065C	YKL013C
YJR065C	YNR053C
YJL115W	YJR140C
YJL115W	YIL070C
YJL115W	YPL153C
YJL115W	YJL026W
YJL115W	YGR180C
YJR148W	YHR208W
YDL070W	YLR399C
YBR200W	YER114C
YBR200W	YAL041W
YKR068C	YML077W
YKR068C	YLR342W
YKR068C	YDR108W
YKR068C	YGR166W
YKR068C	YDR407C
YKR068C	YMR218C
YKR068C	YBR254C
YBR254C	YKR068C
YKR068C	YDR246W
YKR068C	YDR472W
YKR068C	YOR115C
YJL031C	YPR176C
YDR099W	YER177W
YDR099W	YDR001C
YDR099W	YBR001C
YDR099W	YNL267W
YDR099W	YGL252C
YDR099W	YAL017W
YAR014C	YMR116C
YAR014C	YER155C
YAR014C	YHR064C
YAR014C	YGR285C
YLR074C	YPR016C
YLR074C	YER126C
YLR074C	YDL051W
YLR074C	YKL009W
YLR074C	YPL093W
YLR074C	YNL002C
YLR074C	YGR245C
YGR245C	YLR074C
YLR074C	YCR072C
YLR074C	YDR101C
YLR074C	YER006W
YLR074C	YGR103W
YLR074C	YHR052W
YLR074C	YHR085W
YLR074C	YHR197W
YLR074C	YKR081C
YLR074C	YLR106C
YLR074C	YNL110C
YLR074C	YNL182C
YLR074C	YNR053C
YKL007W	YIL034C
YIL034C	YKL007W
YKL007W	YER071C
YKL007W	YIR003W
YPL111W	YPL160W
YPL111W	YKL104C
YPL178W	YLR347C
YPL178W	YDL087C
YPL178W	YPL190C
YPL178W	YHR086W
YHR086W	YPL178W
YPL178W	YDR432W
YPL178W	YNL251C
YPL178W	YML049C
YPL178W	YLR275W
YPL178W	YIL061C
YPL178W	YDR240C
YPL178W	YGR013W
YPL178W	YNL189W
YPL178W	YMR125W
YMR125W	YPL178W
YPL178W	YGL049C
YPL178W	YML117W
YLR175W	YMR290C
YLR175W	YCL059C
YLR175W	YMR309C
YLR175W	YDL014W
YLR175W	YPL043W
YLR175W	YLR197W
YLR175W	YGR162W
YGR162W	YLR175W
YLR175W	YGL049C
YLR175W	YDR496C
YLR175W	YAL035W
YAL035W	YLR175W
YLR175W	YPL012W
YER168C	YHR174W
YPR025C	YPR016C
YPR025C	YDL108W
YPR025C	YBR081C
YPR025C	YDR460W
YPR025C	YOR173W
YAL021C	YGR134W
YAL021C	YNL288W
YAL021C	YDR188W
YAL021C	YCR093W
YCR093W	YAL021C
YAL021C	YGL195W
YAL021C	YNR052C
YNR052C	YAL021C
YFR028C	YDR171W
YAL041W	YER114C
YAL041W	YLR357W
YBR160W	YBR135W
YBR135W	YBR160W
YBR160W	YMR199W
YBR160W	YPL256C
YBR160W	YIR031C
YLR314C	YCR002C
YLR314C	YJR076C
YLR314C	YHR107C
YLR314C	YDL225W
YOL139C	YDL051W
YOL139C	YNL262W
YOL139C	YLR371W
YOL139C	YHL034C
YOL139C	YMR125W
YOL139C	YGR162W
YGR162W	YOL139C
YOL139C	YGL049C
YOL139C	YBL004W
YDL165W	YNL315C
YDL165W	YPR072W
YCR093W	YGR134W
YCR093W	YNL288W
YCR093W	YDL145C
YCR093W	YNR052C
YNR052C	YCR093W
YCR093W	YPL235W
YCR093W	YGL137W
YCR093W	YOR110W
YLR103C	YIL094C
YLR103C	YNL330C
YLR103C	YOL004W
YBR202W	YGL001C
YDL126C	YNL271C
YDL126C	YDR337W
YDL126C	YBR170C
YBR170C	YDL126C
YDL126C	YGL246C
YDL126C	YDR028C
YDL126C	YBL058W
YBL058W	YDL126C
YDL126C	YGR048W
YGR048W	YDL126C
YDL126C	YDR049W
YGL190C	YOR349W
YGL190C	YNL030W
YGL190C	YJR138W
YGL190C	YMR109W
YGL190C	YGR240C
YGL190C	YDL134C
YGL190C	YDL188C
YGL190C	YKL081W
YGL190C	YAL016W
YAL016W	YGL190C
YGL190C	YBL104C
YGL190C	YLR249W
YGL190C	YDR381W
YGL190C	YMR273C
YGL190C	YML109W
YML109W	YGL190C
YPR016C	YDL031W
YPR016C	YLL008W
YPR016C	YMR049C
YPR016C	YMR290C
YPR016C	YNL021W
YPR016C	YOR202W
YPR016C	YER126C
YER126C	YPR016C
YPR016C	YGL099W
YPR016C	YDL051W
YPR016C	YFR001W
YPR016C	YKL009W
YPR016C	YGL036W
YPR016C	YMR309C
YPR016C	YPL093W
YPR016C	YDL014W
YPR016C	YOR361C
YPR016C	YNL002C
YPR016C	YPR010C
YPR016C	YHR088W
YPR016C	YBR079C
YPR016C	YGR245C
YGR245C	YPR016C
YPR016C	YDR496C
YPR016C	YER002W
YPR016C	YGR103W
YPR016C	YHR197W
YPR016C	YKR081C
YKR081C	YPR016C
YPR016C	YLR002C
YPR016C	YNL110C
YPR016C	YNL182C
YPR016C	YNR053C
YPR016C	YOR272W
YMR213W	YDR364C
YMR213W	YLR117C
YLR117C	YMR213W
YMR213W	YBR065C
YMR213W	YMR288W
YMR213W	YLL036C
YMR213W	YNR011C
YMR213W	YER013W
YMR213W	YGL120C
YMR213W	YAL032C
YMR213W	YPL151C
YMR213W	YML049C
YMR213W	YLR275W
YMR213W	YPR101W
YMR213W	YKL173W
YMR213W	YDR416W
YMR213W	YCR063W
YMR213W	YDL209C
YMR213W	YGL128C
YMR213W	YGR278W
YGL130W	YER155C
YGL130W	YPL228W
YGL130W	YMR012W
YGL130W	YOL145C
YGL130W	YNL030W
YGL130W	YMR309C
YGL130W	YDL014W
YGL130W	YBR221C
YGL130W	YGL120C
YGL130W	YBR079C
YGL130W	YGL207W
YGL130W	YBL075C
YGL130W	YER103W
YGL130W	YNL088W
YGL130W	YKR001C
YGL130W	YHR121W
YGL130W	YAL035W
YGL130W	YOL078W
YDR301W	YLR115W
YLR115W	YDR301W
YDR301W	YER133W
YDR301W	YKR002W
YKR002W	YDR301W
YDR301W	YGR240C
YDR301W	YNL317W
YNL317W	YDR301W
YDR301W	YAL043C
YAL043C	YDR301W
YDR301W	YDR195W
YDR301W	YMR061W
YMR061W	YDR301W
YDR301W	YGR156W
YDR301W	YKL059C
YKL059C	YDR301W
YDR301W	YLR277C
YLR277C	YDR301W
YLR115W	YER133W
YLR115W	YKR002W
YKR002W	YLR115W
YLR115W	YNL317W
YNL317W	YLR115W
YLR115W	YAL043C
YAL043C	YLR115W
YLR115W	YGR156W
YLR115W	YHL035C
YLR115W	YKL059C
YKL059C	YLR115W
YLR115W	YLR277C
YLR277C	YLR115W
YGL206C	YGR167W
YGL206C	YIL094C
YER164W	YIL035C
YER164W	YOR061W
YER164W	YGL019W
YER164W	YOR039W
YOR039W	YER164W
YER164W	YNL030W
YER164W	YBR245C
YER164W	YOR304W
YER164W	YOR207C
YER164W	YKR001C
YOR039W	YIL035C
YOR039W	YOR061W
YOR039W	YGL019W
YOR039W	YMR172W
YOR039W	YMR309C
YOR039W	YOR361C
YOR039W	YBR079C
YOR039W	YPL235W
YOR039W	YGL207W
YGL207W	YOR039W
YOR039W	YER103W
YOR039W	YDR429C
YOR039W	YGR090W
YGR090W	YOR039W
YOR039W	YKL088W
YOR039W	YGR270W
YBR135W	YDL155W
YBR135W	YMR199W
YBR135W	YPL256C
YBR135W	YBR295W
YBR135W	YLR079W
YBR135W	YKR091W
YBR135W	YPL014W
YLR117C	YJR050W
YLR117C	YLL036C
YLR117C	YAL032C
YAL032C	YLR117C
YLR117C	YML049C
YLR117C	YPR101W
YLR117C	YKL173W
YLR117C	YDR416W
YOR250C	YDR228C
YDR228C	YOR250C
YOR250C	YMR061W
YMR061W	YOR250C
YOR250C	YGL044C
YOR250C	YDL195W
YOR250C	YBL075C
YBR155W	YGR187C
YDL145C	YFR051C
YFR051C	YDL145C
YDL145C	YPL010W
YDL145C	YNL287W
YDL145C	YDR238C
YDL145C	YIL076W
YBL045C	YPR191W
YDL067C	YGL187C
YDL067C	YNL052W
YDL067C	YHR051W
YDR155C	YNL030W
YDR155C	YPL235W
YDR155C	YBR103W
YBR103W	YDR155C
YDR155C	YOR290C
YDR155C	YCR033W
YDR155C	YIL112W
YNL232W	YOL021C
YOL021C	YNL232W
YNL232W	YGR158C
YNL232W	YHR069C
YNL232W	YDL111C
YNL232W	YCR035C
YNL232W	YOR001W
YNL232W	YGR195W
YGR195W	YNL232W
YNL232W	YOR076C
YNL232W	YNL189W
YNL232W	YIR035C
YBR158W	YHR064C
YBR158W	YGR285C
YMR078C	YHR191C
YMR078C	YPR175W
YMR078C	YNL262W
YMR078C	YNL290W
YMR078C	YOL094C
YMR078C	YBR087W
YMR078C	YLL040C
YKL139W	YJL006C
YKL139W	YML112W
YKL139W	YBR169C
YOL145C	YLR418C
YOL145C	YIL035C
YOL145C	YOR061W
YOL145C	YGL019W
YOL145C	YOR039W
YOL145C	YJR138W
YOL145C	YOR123C
YOL145C	YIL094C
YOL145C	YBR279W
YOL145C	YGL244W
YGL244W	YOL145C
YMR240C	YLR117C
YMR240C	YMR288W
YMR240C	YPL213W
YMR240C	YDL043C
YMR240C	YJL203W
YMR240C	YPL151C
YMR240C	YDL030W
YMR240C	YML049C
YMR240C	YER029C
YMR240C	YLR147C
YMR240C	YMR125W
YJL005W	YFL039C
YJL005W	YGR233C
YJL005W	YNL138W
YNL138W	YJL005W
YGR155W	YJR045C
YNL118C	YOL149W
YNL118C	YML091C
YNL118C	YEL015W
YOL021C	YGR158C
YOL021C	YHR069C
YOL021C	YOL142W
YOL021C	YDL111C
YOL021C	YCR035C
YOL021C	YGR095C
YGR095C	YOL021C
YOL021C	YOR001W
YOL021C	YGR195W
YGR195W	YOL021C
YOL021C	YHR081W
YHR164C	YDR499W
YHR164C	YAR007C
YAR007C	YHR164C
YHR164C	YHR122W
YKL213C	YDL126C
YKL213C	YPR010C
YKL213C	YOR341W
YKL213C	YOR116C
YKL213C	YBL058W
YGL240W	YFL039C
YGL240W	YLR127C
YGL240W	YKL022C
YGL240W	YHR166C
YPR175W	YDR121W
YPR175W	YNL262W
YBR278W	YPR175W
YBR278W	YDR121W
YBR278W	YNL262W
YAL059W	YOL086C
YAL059W	YGL195W
YAL059W	YMR186W
YAL059W	YER110C
YAL059W	YBR115C
YAL059W	YMR308C
YAL059W	YDR395W
YMR128W	YNL097C
YMR128W	YIL084C
YMR128W	YPL139C
YBR065C	YLR117C
YBR065C	YLL036C
YBR065C	YPL151C
YBL047C	YNL243W
YBL047C	YCR030C
YBL047C	YDR348C
YGR200C	YPL086C
YGR200C	YHR187W
YGR200C	YLR384C
YGR200C	YPL101W
YGR254W	YJR045C
YBR247C	YLR175W
YBR247C	YMR128W
YBR247C	YLR186W
YBR247C	YHR148W
YBR247C	YNL075W
YBR247C	YER082C
YBR247C	YNL132W
YNL132W	YBR247C
YBR247C	YCL059C
YCL059C	YBR247C
YBR247C	YKL143W
YBR247C	YJR002W
YBR247C	YDL014W
YBR247C	YDL148C
YBR247C	YOL010W
YBR247C	YLR180W
YBR247C	YLL011W
YBR247C	YBL004W
YBR247C	YDL060W
YDL060W	YBR247C
YBR247C	YDR449C
YBR247C	YGR081C
YBR247C	YGR090W
YGR090W	YBR247C
YBR247C	YMR093W
YBR247C	YOR056C
YOR056C	YBR247C
YBR247C	YPL012W
YBR247C	YPR144C
YFL024C	YFL039C
YFL024C	YPR023C
YFL024C	YOR244W
YOR244W	YFL024C
YFL024C	YNL030W
YFL024C	YHR099W
YFL024C	YDR359C
YFL024C	YNL107W
YFL024C	YEL018W
YMR049C	YOL077C
YMR049C	YMR290C
YMR049C	YNL061W
YNL061W	YMR049C
YMR049C	YOR361C
YMR049C	YNL002C
YMR049C	YGL111W
YMR049C	YGR103W
YMR049C	YNL110C
YNL110C	YMR049C
YMR049C	YOR206W
YML126C	YFL039C
YML126C	YIL094C
YML126C	YKL125W
YML126C	YLR180W
YML126C	YNL119W
YML130C	YML067C
YML130C	YAL042W
YML130C	YLR342W
YML130C	YLR208W
YAR002C-A	YGL200C
YAR002C-A	YAL007C
YAL007C	YAR002C-A
YAR002C-A	YML012W
YAR002C-A	YNL030W
YAR002C-A	YGR132C
YAL007C	YDR127W
YAL007C	YGL200C
YAL007C	YML012W
YAL007C	YLR342W
YAL007C	YMR290C
YAL007C	YER110C
YAL007C	YPL211W
YAL007C	YDR087C
YAL007C	YDR101C
YOR244W	YFL039C
YOR244W	YOL086C
YOR244W	YJL081C
YOR244W	YPR023C
YOR244W	YHR099W
YOR244W	YDR359C
YOR244W	YNL107W
YOR244W	YML007W
YBR102C	YLR166C
YBR102C	YER008C
YBR102C	YDR166C
YBR102C	YIL068C
YBR102C	YPR055W
YBR102C	YML097C
YDR021W	YNL271C
YJR093C	YDR301W
YJR093C	YLR115W
YJR093C	YKR002W
YKR002W	YJR093C
YJR093C	YNL317W
YJR093C	YAL043C
YAL043C	YJR093C
YJR093C	YMR061W
YMR061W	YJR093C
YJR093C	YGR156W
YJR093C	YKL059C
YKL059C	YJR093C
YJR093C	YLR221C
YJR093C	YML030W
YJR093C	YLR277C
YLR277C	YJR093C
YNL135C	YNL023C
YNL135C	YLR005W
YNL135C	YDR311W
YLR060W	YFL022C
