Complex: Essential proteins, Shore proteins, Fjords proteins, Bridge proteins
C57:3,3,1,0
C44:5,3,0,0
C55:5,2,0,0
C54:3,0,2,0
C53:6,12,1,0
C52:4,1,2,0
C51:4,0,0,0
C50:15,16,3,0
C71:0,1,5,0
C70:4,1,1,0
C73:4,0,0,0
C72:3,2,0,1
C75:3,0,1,0
C74:1,1,0,0
C59:5,0,0,0
C58:6,4,2,0
C35:5,0,0,0
C19:16,8,3,0
C18:3,0,2,0
C39:3,1,5,0
C38:7,7,0,0
C34:0,0,1,0
C13:10,4,1,0
C12:1,0,8,0
C11:2,4,3,0
C10:1,0,0,0
C17:2,0,1,0
C16:17,9,6,0
C15:7,1,3,1
C14:5,1,0,0
C37:6,0,0,0
C36:8,4,0,0
C68:7,0,1,0
C42:8,0,2,0
C47:6,0,0,0
C31:4,1,1,0
C43:5,1,3,0
C30:0,2,2,0
C9:8,5,2,0
C8:7,1,0,0
C64:3,2,0,1
C33:6,0,0,0
C67:4,2,2,0
C3:6,0,0,0
C2:7,0,0,0
C1:6,0,0,0
C32:8,0,0,0
C7:4,0,0,0
C6:3,1,2,2
C5:3,0,0,0
C4:6,5,1,0
C22:5,1,2,0
C45:1,2,3,0
C20:5,0,1,0
C21:19,0,5,0
C40:17,2,2,0
C27:0,5,8,0
C24:15,4,1,0
C25:1,1,3,1
C66:5,0,2,0
C62:7,0,0,0
C28:6,0,0,0
C29:14,7,0,0
C48:7,6,0,0
C49:7,7,1,0
C60:5,0,0,0
C61:6,0,0,0
C65:0,1,9,0
C77:3,0,0,0
C56:1,1,3,0
C76:8,0,0,0
C79:4,0,0,1
C80:5,0,1,0
C81:9,3,0,0
C41:7,0,0,0
C69:7,0,0,0
C63:5,0,2,0
C78:5,0,0,0
