Protein ID,Rank Score, Type
YDL055C,0.00345745791526,Fjord
YCR057C,0.00344161598391,Fjord
YBR247C,0.00332877103413,Fjord
YBR009C,0.00327116907112,Fjord
YGR090W,0.00310749114291,Fjord
YER172C,0.00302626489704,Fjord
YER029C,0.00292480751694,Fjord
YMR229C,0.00287093920521,Shore
YHR052W,0.00285131835244,Fjord
YLR180W,0.00279278130042,Fjord
YJR145C,0.00275712921486,Fjord
YLR432W,0.00270435131407,Fjord
YCR046C,0.00266943783163,Fjord
YKL029C,0.0026601230577,Fjord
YHR165C,0.00261223490665,Shore
YDR296W,0.00258737337253,Fjord
YER165W,0.00255868584721,Fjord
YHR200W,0.00255366775272,Fjord
YHR196W,0.00255022833321,Fjord
YLL024C,0.00247105358253,Fjord
YPL013C,0.00241748203495,Fjord
YPL235W,0.0024083753426,Fjord
YML085C,0.00240230393521,Fjord
YGR220C,0.00237316754804,Fjord
YPR010C,0.00234618567959,Fjord
YPR016C,0.00227650778735,Shore
YJL109C,0.00225572624813,Shore
YOL077C,0.00224148391141,Shore
YKR081C,0.00222711758791,Shore
YNL284C,0.00222015561286,Fjord
YER006W,0.00220197166049,Shore
YML124C,0.00219290568136,Fjord
YBL072C,0.00218946759267,Fjord
YKL173W,0.00218298921027,Shore
YML025C,0.0021731534126,Fjord
YNL110C,0.00214550408615,Shore
YDR496C,0.00213019088246,Shore
YBR251W,0.00212561485525,Shore
YGL195W,0.00211515312595,Fjord
YLR175W,0.00211056867708,Fjord
YFR031C-A,0.00210694295232,Fjord
YDR101C,0.00209872736119,Shore
YHL004W,0.00209385546205,Shore
YCL059C,0.00209218163039,Fjord
YBR253W,0.00208280042284,Fjord
YHR027C,0.00207924964515,Shore
YPR144C,0.00207810073987,Fjord
YDL148C,0.00207267335061,Shore
YDR036C,0.0020600965613,Shore
YDR097C,0.00205474300363,Fjord
YBR254C,0.00203978453647,Fjord
YDR060W,0.00202812344042,Fjord
YKL104C,0.00202047418865,Fjord
YKR068C,0.00200325616016,Fjord
YOL038W,0.00199706850412,Shore
YOR272W,0.00199684963732,Shore
YMR125W,0.0019932877638,Shore
YER112W,0.00199012301087,Shore
YDR041W,0.00198085640335,Shore
YDR303C,0.00196577397908,Shore
YML007W,0.00195546568399,Fjord
YGL115W,0.00194706324228,Fjord
YPR080W,0.00192868817222,Fjord
YGR103W,0.00190765584031,Essential
YGL112C,0.00190112830729,Shore
YNL132W,0.00189974048041,Fjord
YPL043W,0.00189121537252,Shore
YPR110C,0.00188526687053,Shore
YNL061W,0.00188140175148,Shore
YPL093W,0.00187814412281,Essential
YOR206W,0.00187799439599,Shore
YPR070W,0.00186498567884,Shore
YJL130C,0.00186453197482,Fjord
YDR427W,0.00185770043517,Shore
YOL004W,0.0018531228935,Fjord
YAL035W,0.00184868576237,Fjord
YPL012W,0.001847268262,Fjord
YOR133W,0.00182887140488,Fjord
YJL041W,0.00182853846071,Essential
YBR154C,0.00182785271691,Shore
YPR187W,0.00182650251887,Shore
YFR001W,0.00181617928935,Shore
YBR127C,0.00181329735044,Fjord
YAR007C,0.00181164998391,Shore
YHR010W,0.00181092041551,Fjord
YOR310C,0.00180523290948,Fjord
YPL131W,0.0018029196634,Shore
YDR477W,0.00179391135562,Fjord
YFL037W,0.0017934911763,Fjord
YHL034C,0.00178693509919,Fjord
YJL033W,0.00178267676121,Fjord
YIL035C,0.00178154731649,Fjord
YDR012W,0.00176370018666,Fjord
YOR249C,0.00176207820922,Fjord
YGL019W,0.00175832268495,Fjord
YKR001C,0.00175821666827,Fjord
YPR137W,0.00175175679481,Shore
YDL047W,0.00174786260567,Fjord
YDR449C,0.00174678740307,Shore
YDL147W,0.00173883217122,Shore
YBR245C,0.00173028531766,Shore
YPR034W,0.00171907754024,Shore
YFR037C,0.00171519573317,Shore
YKL145W,0.0017003109466,Shore
YLR074C,0.00170005197557,Shore
YGL173C,0.00168968164471,Fjord
YIL075C,0.00168468400504,Shore
YBR135W,0.00166918792954,Essential
YJL098W,0.00165929825871,Fjord
YNL175C,0.00165701763444,Fjord
YOL120C,0.00165209892852,Fjord
YOR151C,0.00165157228677,Fjord
YHL030W,0.00165038167147,Shore
YMR309C,0.00163244556881,Fjord
YGR020C,0.0016304981638,Shore
YIL094C,0.001623777078,Shore
YGL076C,0.00162078882646,Fjord
YKL022C,0.00161946330125,Fjord
YGR233C,0.00161842472899,Bridge
YFL002C,0.00161833131848,Shore
YOR224C,0.00161774349943,Shore
YGR245C,0.00161586654218,Fjord
YGL120C,0.00161400840899,Fjord
YBL038W,0.00160801624053,Essential
YMR033W,0.0016073367679,Shore
YDR145W,0.0016043805615,Shore
YOR063W,0.00159788472499,Shore
YKL018W,0.00159086989111,Fjord
YER082C,0.00158975186314,Shore
YGR091W,0.00158517521928,Fjord
YDL087C,0.00158024831194,Shore
YOR116C,0.00157680279933,Shore
YLR196W,0.00156198149278,Fjord
YBR142W,0.00156144935934,Fjord
YGR162W,0.00155985831122,Fjord
YDR448W,0.00154773768995,Essential
YNR052C,0.0015469879158,Bridge
YAL038W,0.00154655618355,Fjord
YJL111W,0.00154398022784,Essential
YDR429C,0.00153508518032,Fjord
YMR242C,0.00153403511402,Shore
YLR274W,0.00152736632857,Fjord
YDL185W,0.00152315905652,Fjord
YMR049C,0.00151792320619,Shore
YDR324C,0.00151717038298,Essential
YBR126C,0.00151220025188,Fjord
YBR198C,0.00151111309745,Shore
YGR214W,0.00150838076581,Fjord
YJL173C,0.00150651009275,Essential
YGR192C,0.00148856990993,Fjord
YLR106C,0.00147989915967,Shore
YMR236W,0.00147876768903,Shore
YDR378C,0.00147784146688,Shore
YLR071C,0.00147510133624,Shore
YML012W,0.00147298024823,Essential
YOR181W,0.00146962013774,Fjord
YMR061W,0.00146880365521,Shore
YOL090W,0.0014677926559,Bridge
YPR088C,0.00145704315506,Shore
YFR052W,0.00145571411788,Shore
