Complex: normal proteins, shore proteins, fjords proteins, bridge proteins
C39:14,4,5,0
C38:8,0,0,0
C35:2,1,1,0
C34:19,1,1,0
C37:4,0,0,0
C36:4,0,0,0
C31:12,4,0,0
C30:4,2,0,0
C33:54,6,10,0
C32:4,0,1,0
C153:15,5,0,0
C152:9,3,1,0
C151:25,8,1,0
C150:4,6,0,0
C157:3,0,1,1
C156:10,2,1,2
C155:9,3,0,0
C154:9,3,1,0
C159:3,0,0,1
C158:3,0,1,0
C22:5,0,0,0
C23:1,0,0,0
C20:2,0,0,0
C21:7,0,0,0
C27:4,6,0,0
C24:0,0,1,0
C25:0,0,0,1
C28:15,4,0,0
C29:13,4,0,0
C162:2,0,4,0
C160:4,2,0,0
C161:7,1,1,1
C54:4,0,0,0
C53:7,1,0,0
C52:18,2,0,0
C51:0,0,1,0
C50:0,0,1,0
C59:11,4,2,0
C44:2,0,0,0
C45:1,0,0,0
C46:8,0,2,0
C47:4,0,0,0
C40:8,0,0,0
C41:2,4,3,0
C42:4,0,1,0
C43:3,0,1,0
C48:4,1,1,0
C49:18,2,1,0
C121:3,0,2,0
C108:4,1,0,0
C109:2,0,0,0
C104:1,0,3,0
C105:2,0,2,0
C106:0,1,1,0
C107:7,1,0,0
C100:0,0,1,0
C102:2,0,3,0
C103:1,0,2,0
C79:3,0,0,1
C78:2,2,1,0
C71:22,6,3,1
C70:5,3,1,0
C73:4,2,0,0
C72:4,2,0,0
C75:4,0,0,0
C74:5,2,0,0
C77:13,4,3,1
C76:9,2,2,0
C9:4,0,0,0
C8:0,0,1,0
C119:2,0,4,0
C118:5,0,0,0
C3:0,0,2,0
C2:0,0,6,0
C1:3,1,0,0
C114:5,0,0,0
C7:4,0,0,0
C6:12,0,2,0
C5:2,0,2,0
C4:0,0,4,0
C140:20,12,5,1
C68:7,11,0,0
C69:4,0,0,1
C66:17,16,0,0
C67:10,5,0,0
C64:2,0,0,0
C65:17,16,0,0
C62:0,2,6,0
C63:3,0,1,0
C60:2,0,1,0
C61:3,3,0,0
C117:10,1,11,0
C143:12,4,0,0
C116:61,28,43,4
C115:1,0,0,0
C145:2,3,0,0
C146:2,0,2,1
C113:6,0,1,0
C112:12,1,1,0
C128:16,10,0,0
C129:79,28,14,3
C111:3,0,0,1
C149:1,0,1,0
C122:12,13,22,3
C123:5,11,12,0
C120:4,0,4,0
C110:3,0,0,1
C126:34,14,4,1
C127:17,4,4,1
C124:7,2,10,3
C125:0,0,1,0
C19:2,0,0,0
C18:2,1,2,0
C13:9,2,5,1
C12:4,1,0,0
C11:4,1,0,0
C10:18,4,10,1
C17:1,0,3,0
C16:5,1,5,0
C15:2,1,1,1
C14:7,1,3,0
C93:5,1,2,0
C92:2,4,0,1
C91:7,7,3,1
C90:4,0,0,0
C97:20,18,14,1
C130:9,4,1,0
C95:6,1,2,0
C94:6,1,2,0
C99:4,4,6,1
C98:15,13,6,0
C139:2,0,1,1
C138:1,0,1,1
C135:5,3,0,0
C134:9,3,3,2
C137:1,0,1,0
C136:4,2,0,0
C131:5,2,0,0
C80:5,0,0,0
C141:12,4,0,0
C82:2,0,0,0
C83:3,0,0,0
C144:12,4,0,0
C133:5,0,0,0
C86:0,0,3,0
C87:37,26,17,2
C88:9,1,0,0
C89:3,1,0,0
C132:8,5,0,0
C142:4,2,0,0
